"codigo_tecnologia_org","cargue_id","cuenta_id","sum","sum"
"103795-1",31990,6614,9600.00,1
"103795-1",14416,7745,38400.00,6
"103795-1",36525,9084,466704.00,21
"103795-1",37519,9099,666720.00,30
"103795-1",16430,3862,111120.00,5
"103795-1",26526,9709,197400.00,9
"103795-1",31720,7373,22224.00,1
"103795-1",9128,3133,6649.00,1
"103795-1",8400,2147,1355664.00,61
"103795-1",36815,9088,111120.00,5
"103795-1",20758,3783,461538.00,18
"103795-1",29495,5895,90000.00,5
"103795-1",34330,7878,19947.00,3
"103795-1",35361,8116,222241.00,10
"103795-1",22524,4542,22224.00,1
"103795-1",13332,2943,90000.00,5
"103795-1",23188,5534,133344.00,6
"103795-1",28359,6570,918000.00,51
"103795-1",1006,3901,88096.00,4
"103795-1",17861,3931,111120.00,5
"103795-1",28182,5443,48000.00,7
"103795-1",7167,3140,6649.00,1
"103795-1",31623,9008,31100.00,1
"103795-1",27397,5277,203000.00,8
"103795-1",7650,1129,5400.00,3
"103795-1",30257,7370,133344.00,6
"103795-1",12166,1463,361744.00,16
"103795-1",28012,5603,20675.00,1
"103795-1",38462,9192,6649.00,1
"103795-1",7975,2586,22224.00,1
"103795-1",8085,688,1266104.00,56
"103795-1",7145,3368,66672.00,3
"103795-1",6203,617,45218.00,2
"103795-1",31374,6540,88096.00,4
"103795-1",19393,4356,666000.00,37
"103795-1",40613,9672,22767.00,1
"103795-1",6874,3141,13298.00,2
"103795-1",7998,2589,22224.00,1
"103795-1",23723,6290,15000.00,2
"103795-1",18850,4002,22224.00,1
"103795-1",15076,3663,2000160.00,90
"103795-1",19307,4130,46543.00,7
"103795-1",27277,9714,186600.00,6
"103795-1",9954,1170,74847.00,3
"103795-1",9568,4396,2022384.00,91
"103795-1",7693,2616,44448.00,2
"103795-1",38578,9130,11305.00,1
"103795-1",22630,4546,444480.00,20
"103795-1",39080,9098,90000.00,5
"103795-1",14481,4791,113045.00,5
"103795-1",32081,6769,90000.00,5
"103795-1",16877,3910,22224.00,1
"103795-1",28140,5897,26930.00,2
"103795-1",667,2063,111120.00,5
"103795-1",12130,1464,226090.00,10
"103795-1",27472,6254,179523.00,27
"103795-1",20915,4909,194131.00,7
"103795-1",15035,3420,41350.00,2
"103795-1",14229,4747,90436.00,4
"103795-1",437,17,55754.00,2
"103795-1",7959,2547,44448.00,2
"103795-1",15806,3339,68301.00,3
"103795-1",3605,167,54036.00,2
"103795-1",25946,6328,18000.00,1
"103795-1",21077,3640,20675.00,1
"103795-1",37789,9101,44448.00,2
"103795-1",36424,8985,31100.00,1
"103795-1",12042,1471,226090.00,10
"103795-1",39033,9020,947818.00,34
"103795-1",12254,1460,288000.00,16
"103795-1",36274,8054,111508.00,4
"103795-1",8290,2097,44448.00,2
"103795-1",6822,1355,3200238.00,84
"103795-1",15126,3740,22224.00,1
"103795-1",11991,1473,135654.00,6
"103795-1",33871,7361,444480.00,20
"103795-1",35474,8106,111120.00,5
"103795-1",1831,3892,88096.00,4
"103795-1",31438,6550,88096.00,4
"103795-1",23147,5293,26596.00,4
"103795-1",11880,1527,1062623.00,47
"103795-1",21647,4854,226090.00,10
"103795-1",32916,7395,800064.00,36
"103795-1",35277,7764,11305.00,1
"103795-1",35104,7920,55466.00,2
"103795-1",7908,2065,44448.00,2
"103795-1",15124,3734,133344.00,6
"103795-1",38810,9186,244464.00,11
"103795-1",20774,4419,18659.00,1
"103795-1",34650,8156,22224.00,1
"103795-1",33051,6988,223016.00,8
"103795-1",29410,9220,5600.00,1
"103795-1",27946,5607,20675.00,1
"103795-1",24534,5586,22224.00,1
"103795-1",3974,542,162000.00,9
"103795-1",34451,7417,113045.00,5
"103795-1",21793,4279,25200.00,1
"103795-1",28517,5421,20675.00,1
"103795-1",21636,4514,755616.00,34
"103795-1",7449,3137,6649.00,1
"103795-1",8275,2075,666720.00,30
"103795-1",9609,4507,179523.00,27
"103795-1",7745,2598,133344.00,6
"103795-1",8285,2080,22224.00,1
"103795-1",5845,1341,888960.00,40
"103795-1",38542,9100,396000.00,22
"103795-1",32896,7118,72000.00,4
"103795-1",9703,1513,360529.00,13
"103795-1",34582,8162,355584.00,16
"103795-1",17333,3964,1222320.00,55
"103795-1",6260,623,223016.00,8
"103795-1",7731,2049,22224.00,1
"103795-1",19261,3883,2111280.00,95
"103795-1",12773,3498,6649.00,1
"103795-1",9774,1275,91068.00,4
"103795-1",36961,9090,101847.00,3
"103795-1",19060,4005,577824.00,26
"103795-1",5187,544,90000.00,5
